momentum [MeV/c]	total energy [MeV]	kinetic energy [MeV]	\gamma	\beta	drf1 [m]	drf2 [m]	elcRds [m]	bending angle [dgr]	inc angle in [dgr]	inc angle out [dgr]	fringe extend ups [m]	fringe extend dws [m]	fringe backoff [m]	side logic	front screen [m]	side screen [m]	bending angle at front screen [dgr]	bending angle at side screen [dgr]	total path [m]	max B [T]	eff length ups [m]	eff length dws [m]	ups boundary s [m]	center s [m]	dws boundary s [m]	ups Enge 0	ups Enge 1	ups Enge 2	ups Enge 3	ups Enge 4	ups Enge 5	dws Enge 0	dws Enge 1	dws Enge 2	dws Enge 3	dws Enge 4	dws Enge 5	ups fit cost	ups normalized cost	ups fit error	dws fit cost	dws normalized cost	dws fit error	x[mm](rms)	xp[mm](rms)	y[mm](rms)	yp[mm](rms)	x[mm](rms,b)	xp[mm](rms,b)	y[mm](rms,b)	yp[mm](rms,b)	x conv fct rms	y conv fct rms	momentum rsl rms [%]	x[mm](fwhm)	xp[mm](fwhm)	y[mm](fwhm)	yp[mm](fwhm)	x[mm](fwhm,b)	xp[mm](fwhm,b)	y[mm](fwhm,b)	yp[mm](fwhm,b)	x conv fct fwhm	y conv fct fwhm	momentum rsl [%/mrad]	peak momentum error [%]	arc Coeff [MeV/mm2]
1.400000000000e+00	1.490342255766e+00	9.793431957657e-01	2.916526413504e+00	9.393815377533e-01	1.127483528387e+01	-0.000000000000e+00	1.863376288761e-01	1.072005280144e+02	0.000000000000e+00	-2.466223507494e+01	1.863352838686e-01	-0.000000000000e+00	2.719938240464e-01	1.000000000000e+00	2.651058201154e+00	-9.414674707672e-01	8.992599500113e+00	-8.507400499887e+00	1.154247956850e+01	2.506148307747e-02	2.111694274302e-01	1.379686812443e-01	1.127483528387e+01	1.148600471130e+01	1.162397339254e+01	4.419639058206e-01	3.533140761766e-01	-2.703585755890e-02	5.620394277952e-03	-1.302624063292e-03	1.190945397861e-04	1.783720826100e-02	8.913813468434e-01	-6.948634650591e-02	-9.746874556683e-03	1.824608797331e-02	1.505356949508e-02	0.000000000000e+00	0.000000000000e+00	1.909903834262e-04	0.000000000000e+00	0.000000000000e+00	-1.644725073517e-04	0.44061	5.3989	2.8697	7.1012	1.1627	0.099621	1.1698	0.10133	0.37896	2.4531	0.36348	0.69193	11.6233	5.9106	14.8249	2.4106	0.20244	2.3256	0.20196	0.28704	2.5415	5.5471	0.0051885	-3.6583e-05
1.706666666667e+00	1.781524950831e+00	1.270525890831e+00	3.486356610579e+00	9.579807826272e-01	1.130485227297e+01	-0.000000000000e+00	1.830453253708e-01	1.073338319350e+02	0.000000000000e+00	-2.300587306736e+01	2.163522729684e-01	-0.000000000000e+00	2.693122894292e-01	1.000000000000e+00	2.624658288152e+00	-9.141440874377e-01	9.288896362861e+00	-8.211103637139e+00	1.156944405705e+01	3.110064249487e-02	2.036354832604e-01	1.397685902473e-01	1.130485227297e+01	1.150848775623e+01	1.164825634648e+01	4.890616470045e-01	3.621989389635e-01	-3.066813969019e-02	6.881634666158e-03	-1.349277590381e-03	9.954246280544e-05	2.283189195987e-02	8.553848291405e-01	-5.293517933252e-02	-5.202902744525e-03	1.101751014930e-02	1.063873271293e-02	0.000000000000e+00	0.000000000000e+00	2.563179020077e-04	0.000000000000e+00	0.000000000000e+00	-1.567174396527e-04	0.45358	5.6062	2.9771	7.9165	1.1761	0.10062	1.1677	0.10094	0.38565	2.5495	0.32524	0.68446	11.7417	6.2443	16.4793	1.6857	0.20081	2.3673	0.20426	0.40604	2.6377	4.6165	-0.0053771	-3.1154e-05
2.013333333333e+00	2.077169023077e+00	1.566169963077e+00	4.064917503131e+00	9.692679367761e-01	1.132728024231e+01	-0.000000000000e+00	1.822552070006e-01	1.069494612944e+02	-1.569463239924e+00	-2.128560573962e+01	2.387802423122e-01	-0.000000000000e+00	2.667662680494e-01	1.000000000000e+00	2.601377191332e+00	-8.918577557190e-01	9.353777104672e+00	-8.146222895328e+00	1.159171523119e+01	3.684809464254e-02	1.969503815138e-01	1.437508754107e-01	1.132728024231e+01	1.152423062383e+01	1.166798149924e+01	5.217888052446e-01	3.736791456729e-01	-3.514119159909e-02	8.096696636871e-03	-1.404285352181e-03	9.003155730617e-05	1.827041288837e-02	8.222193308924e-01	-3.766221274833e-02	-7.901659039393e-03	8.183214434558e-03	8.355200015183e-03	0.000000000000e+00	0.000000000000e+00	3.168980944772e-04	0.000000000000e+00	0.000000000000e+00	-1.086192708186e-04	0.4879	5.8076	3.1238	9.0133	1.2037	0.10277	1.1515	0.099321	0.40534	2.7128	0.34826	0.73854	12.0169	6.6118	19.1804	1.6931	0.20397	2.3724	0.20431	0.4362	2.7869	5.1819	0.0034138	-3.6267e-05
2.320000000000e+00	2.375609403779e+00	1.864610343779e+00	4.648950633644e+00	9.765915206052e-01	1.134624737006e+01	-0.000000000000e+00	1.809565805359e-01	1.063197602294e+02	-4.777141439692e+00	-2.011212460146e+01	2.577473700630e-01	-0.000000000000e+00	2.624571631321e-01	1.000000000000e+00	2.580849245509e+00	-8.732938984117e-01	9.472937074868e+00	-8.027062925132e+00	1.161057864402e+01	4.276543569557e-02	1.899952063346e-01	1.462932307547e-01	1.134624737006e+01	1.153624257640e+01	1.168253580715e+01	5.479819263892e-01	3.882509725795e-01	-3.986216661139e-02	9.395310939974e-03	-1.511940470270e-03	8.843174577047e-05	6.211332312431e-03	7.722279933163e-01	-8.930817598035e-03	-1.275865769610e-02	2.442897901085e-03	7.630237245051e-03	0.000000000000e+00	0.000000000000e+00	3.856163633453e-04	0.000000000000e+00	0.000000000000e+00	-1.147983462390e-04	0.51539	5.8379	3.3528	10.6579	1.182	0.1008	1.137	0.097911	0.43604	2.9487	0.38617	0.80193	12.3374	7.3689	23.2907	1.6374	0.20281	2.346	0.20271	0.48976	3.141	5.8924	0.0057473	-4.7496e-05
2.626666666667e+00	2.675910651927e+00	2.164911591927e+00	5.236625390128e+00	9.815972983906e-01	1.136270894691e+01	-0.000000000000e+00	1.791111335513e-01	1.055286679749e+02	-3.028959054262e+00	-1.861821739907e+01	2.742089469147e-01	-0.000000000000e+00	2.567721198118e-01	1.000000000000e+00	2.562953187865e+00	-8.575286541847e-01	9.599747876222e+00	-7.900252123778e+00	1.162682778074e+01	4.891720981727e-02	1.837898170991e-01	1.466011365414e-01	1.136270894691e+01	1.154649876401e+01	1.169309990056e+01	5.707740830238e-01	4.004575853189e-01	-4.398316655613e-02	1.035215196017e-02	-1.558503231155e-03	8.453149974605e-05	7.874771071516e-03	6.982775813034e-01	4.834566618806e-03	-4.646048854927e-03	-1.545016919712e-03	5.915358951898e-03	0.000000000000e+00	0.000000000000e+00	4.283391816103e-04	0.000000000000e+00	0.000000000000e+00	-1.264806537130e-04	0.51311	5.9368	3.4809	11.6772	1.1819	0.10069	1.1574	0.099544	0.43414	3.0075	0.40971	0.771	12.4419	7.3395	24.6096	1.6479	0.2062	2.3602	0.20263	0.46788	3.1098	5.9156	0.0052814	-3.9778e-05
2.933333333333e+00	2.977509778954e+00	2.466510718954e+00	5.826840031670e+00	9.851632911728e-01	1.137732598375e+01	-0.000000000000e+00	1.774957690104e-01	1.046167252755e+02	-3.027938742255e+00	-1.509253353898e+01	2.888259837460e-01	-0.000000000000e+00	2.513538416011e-01	1.000000000000e+00	2.546557640313e+00	-8.438447917124e-01	9.674311161090e+00	-7.825688838910e+00	1.164106278655e+01	5.512552128443e-02	1.779160814453e-01	1.466745629604e-01	1.137732598375e+01	1.155524206519e+01	1.170191662815e+01	5.852351583738e-01	4.139344501043e-01	-4.854025732951e-02	1.140975100754e-02	-1.627955449352e-03	8.310051079710e-05	3.482157930038e-02	6.222703456970e-01	3.092685114022e-03	5.904218311717e-03	-2.862112796985e-03	4.118943629306e-03	0.000000000000e+00	0.000000000000e+00	4.692547484268e-04	0.000000000000e+00	0.000000000000e+00	-1.302643386184e-04	0.52977	5.9878	3.6977	13.0715	1.1924	0.10147	1.1696	0.10046	0.44427	3.1616	0.42983	0.77286	12.3876	7.7132	27.0849	1.7672	0.20342	2.3525	0.20153	0.43734	3.2787	6.3363	0.028361	-5.1321e-05
3.240000000000e+00	3.280048786119e+00	2.769049726119e+00	6.418893972367e+00	9.877901858385e-01	1.138975367524e+01	-0.000000000000e+00	1.758515447043e-01	1.036362835747e+02	-4.247370228140e+00	-1.460658565020e+01	3.012536752355e-01	-0.000000000000e+00	2.451842339522e-01	1.000000000000e+00	2.531721611634e+00	-8.318692353226e-01	9.713681375512e+00	-7.786318624488e+00	1.165364872581e+01	6.145795706596e-02	1.727401952703e-01	1.458390892582e-01	1.138975367524e+01	1.156249387051e+01	1.170833295976e+01	6.026612302789e-01	4.259909242802e-01	-5.272365600923e-02	1.246207164168e-02	-1.714427660347e-03	8.369226888538e-05	6.581598408671e-02	5.739086681466e-01	-6.454891524140e-03	1.250281765009e-02	-3.600190695523e-03	3.260803266835e-03	0.000000000000e+00	0.000000000000e+00	5.176919503388e-04	0.000000000000e+00	0.000000000000e+00	-1.095156295990e-04	0.52478	6.0185	3.7672	13.9536	1.189	0.10109	1.1674	0.10016	0.44135	3.227	0.43275	0.79144	12.5541	7.8604	29.0169	1.7343	0.20689	2.4199	0.20724	0.45634	3.2483	6.8249	0.02241	-5.9137e-05
3.546666666667e+00	3.583289617623e+00	3.072290557623e+00	7.012321348738e+00	9.897795169064e-01	1.140085218795e+01	-0.000000000000e+00	1.744356426047e-01	1.026289414210e+02	-3.646463533736e+00	-1.364985441927e+01	3.123521879516e-01	-0.000000000000e+00	2.394006864530e-01	1.000000000000e+00	2.518063514545e+00	-8.212403371202e-01	9.708228403525e+00	-7.791771596475e+00	1.166490288097e+01	6.782103932262e-02	1.681387453715e-01	1.448126340974e-01	1.140085218795e+01	1.156899093332e+01	1.171380356742e+01	6.168065724296e-01	4.363457921762e-01	-5.700585518315e-02	1.362852240237e-02	-1.818563885273e-03	8.532898750764e-05	1.051454461529e-01	5.412089155154e-01	-1.704139028134e-02	1.541335398423e-02	-4.041204793650e-03	2.790913197530e-03	0.000000000000e+00	0.000000000000e+00	5.748744974866e-04	0.000000000000e+00	0.000000000000e+00	-7.471132142359e-05	0.50923	5.9834	3.7632	14.3599	1.1703	0.099386	1.1599	0.099439	0.43512	3.2443	0.44147	0.77346	12.6996	7.9245	30.033	1.7511	0.20252	2.3759	0.20556	0.4417	3.3353	6.595	0.010703	-5.6098e-05
3.853333333333e+00	3.887068023215e+00	3.376068963215e+00	7.606800731130e+00	9.913213018965e-01	1.141070616447e+01	-0.000000000000e+00	1.729132765978e-01	1.016034901381e+02	-4.342662776618e+00	-1.142901862071e+01	3.222061644749e-01	-0.000000000000e+00	2.332850566896e-01	1.000000000000e+00	2.505641557179e+00	-8.117136839194e-01	9.653822830951e+00	-7.846177169049e+00	1.167505088999e+01	7.433400558477e-02	1.635440809862e-01	1.435857012221e-01	1.141070616447e+01	1.157425024546e+01	1.171783594668e+01	6.321369071686e-01	4.470234610532e-01	-6.131824865705e-02	1.475512769739e-02	-1.920458951067e-03	8.736421098695e-05	1.421361456327e-01	5.180231068101e-01	-2.723019220759e-02	1.654959357829e-02	-4.406100770850e-03	2.416641490535e-03	0.000000000000e+00	0.000000000000e+00	6.182346838373e-04	0.000000000000e+00	0.000000000000e+00	-4.935718300444e-05	0.50443	5.9752	3.8646	15.1985	1.1773	0.099867	1.1706	0.10024	0.42848	3.3015	0.44459	0.77737	12.4964	8.1074	31.9595	1.754	0.20425	2.3817	0.20252	0.44321	3.404	6.5824	0.00062269	-5.1433e-05
4.160000000000e+00	4.191267116198e+00	3.680268056198e+00	8.202103378033e+00	9.925399371286e-01	1.142062525257e+01	-0.000000000000e+00	1.711092320259e-01	1.005807477333e+02	-4.346755660365e+00	-1.085975141261e+01	3.321252525741e-01	-0.000000000000e+00	2.277354569514e-01	1.000000000000e+00	2.493917530982e+00	-8.031149231399e-01	9.564782159663e+00	-7.935217840337e+00	1.168426609991e+01	8.109595371301e-02	1.586233191665e-01	1.422529851180e-01	1.142062525257e+01	1.157924857174e+01	1.172150155686e+01	6.371619114277e-01	4.599887815638e-01	-6.638056814072e-02	1.591981426465e-02	-2.012399789655e-03	8.866196912337e-05	1.877924108296e-01	5.051134158130e-01	-3.558792784350e-02	1.684539632182e-02	-4.605751268818e-03	2.206420508045e-03	0.000000000000e+00	0.000000000000e+00	6.546048383214e-04	0.000000000000e+00	0.000000000000e+00	-2.571939110629e-05	0.48935	5.905	3.8627	15.6361	1.1638	0.098661	1.1611	0.099358	0.42049	3.3266	0.4388	0.76632	12.5632	8.2323	33.1432	1.7316	0.2012	2.3636	0.20164	0.44255	3.483	6.6059	0.0028401	-5.3217e-05
4.466666666667e+00	4.495801502561e+00	3.984802442561e+00	8.798062177573e+00	9.935195457633e-01	1.142865470217e+01	-0.000000000000e+00	1.697087788058e-01	9.955303113535e+01	-4.234379754286e+00	-9.609581320646e+00	3.401547021659e-01	-0.000000000000e+00	2.218380374609e-01	1.000000000000e+00	2.482986679198e+00	-7.952700977464e-01	9.425045553213e+00	-8.074954446787e+00	1.169269044920e+01	8.779272561519e-02	1.548487441371e-01	1.405250403541e-01	1.142865470217e+01	1.158350344630e+01	1.172402848666e+01	6.511800906852e-01	4.695782882184e-01	-7.071026528250e-02	1.706475628463e-02	-2.119821476824e-03	9.134087630561e-05	2.210045722629e-01	4.989515225913e-01	-4.188788707529e-02	1.687079880431e-02	-5.295372355932e-03	2.106387459417e-03	0.000000000000e+00	0.000000000000e+00	6.994754872152e-04	0.000000000000e+00	0.000000000000e+00	-2.674794370744e-06	0.4872	6.0614	3.8582	15.934	1.1988	0.10149	1.1566	0.098921	0.40642	3.3359	0.43905	0.70703	12.6356	8.1547	33.982	1.5789	0.20212	2.3472	0.20311	0.44779	3.4743	6.7047	0.030964	-7.6954e-05
4.773333333333e+00	4.800607373076e+00	4.289608313076e+00	9.394552258229e+00	9.943186272854e-01	1.143664465277e+01	-0.000000000000e+00	1.681607373435e-01	9.854269740094e+01	-4.632654439997e+00	-8.916509637479e+00	3.481446527656e-01	-0.000000000000e+00	2.164261824552e-01	1.000000000000e+00	2.472781255796e+00	-7.880751587362e-01	9.255251798974e+00	-8.244748201026e+00	1.170043720153e+01	9.468396960939e-02	1.510988552963e-01	1.386198759189e-01	1.143664465277e+01	1.158774350806e+01	1.172636338398e+01	6.581982883114e-01	4.817298369836e-01	-7.583784872303e-02	1.828178697242e-02	-2.226115842267e-03	9.383607904130e-05	2.580247901280e-01	4.963143407318e-01	-4.688940334174e-02	1.690647350589e-02	-5.799622860639e-03	2.020121963163e-03	0.000000000000e+00	0.000000000000e+00	7.366841752285e-04	0.000000000000e+00	0.000000000000e+00	2.001058241405e-05	0.48139	6.1257	3.818	16.1513	1.2098	0.10233	1.1355	0.097032	0.39792	3.3626	0.44044	0.71196	12.5435	8.3711	35.3497	1.7646	0.20189	2.3525	0.20049	0.40347	3.5583	6.3968	-0.0069269	-6.5932e-05
5.080000000000e+00	5.105636105259e+00	4.594637045259e+00	9.991478468197e+00	9.949788616482e-01	1.144384589958e+01	-0.000000000000e+00	1.665671475702e-01	9.755073578009e+01	-4.860858619197e+00	-7.130292517361e+00	3.553458995758e-01	-0.000000000000e+00	2.108548306201e-01	1.000000000000e+00	2.463191089251e+00	-7.814519034548e-01	9.055714590720e+00	-8.444285409280e+00	1.170758521743e+01	1.017310813282e-01	1.473979837119e-01	1.366961647638e-01	1.144384589958e+01	1.159124388329e+01	1.172794004805e+01	6.674844334985e-01	4.927073470171e-01	-8.060982132989e-02	1.945583466264e-02	-2.333822727656e-03	9.667921018459e-05	2.891042378965e-01	4.953109734884e-01	-5.045899544623e-02	1.709470196585e-02	-6.365592686364e-03	1.932111438889e-03	0.000000000000e+00	0.000000000000e+00	7.760064717513e-04	0.000000000000e+00	0.000000000000e+00	4.148879137902e-05	0.44001	5.9235	3.8	16.2406	1.1821	0.099888	1.1447	0.097775	0.37224	3.3197	0.41616	0.66413	12.306	8.2884	35.5812	1.7519	0.20292	2.3328	0.20315	0.37909	3.5529	6.2707	0.016071	-6.9047e-05
5.386666666667e+00	5.410850008742e+00	4.899850948742e+00	1.058876704928e+01	9.955305835431e-01	1.145023070571e+01	-0.000000000000e+00	1.650365469989e-01	9.658067356448e+01	-4.715913115207e+00	-7.444846886374e+00	3.617307057102e-01	-0.000000000000e+00	2.052139562159e-01	1.000000000000e+00	2.454133480976e+00	-7.753255752889e-01	8.833603733589e+00	-8.666396266411e+00	1.171421072831e+01	1.088727694244e-01	1.442627518965e-01	1.344312269160e-01	1.145023070571e+01	1.159449345761e+01	1.172892468452e+01	6.800439960973e-01	5.018409530930e-01	-8.506494140393e-02	2.065055816081e-02	-2.452519114958e-03	1.002620693771e-04	3.147519085644e-01	4.988928918637e-01	-5.374139335968e-02	1.805716650022e-02	-7.248753848563e-03	1.926186371100e-03	0.000000000000e+00	0.000000000000e+00	8.215512924290e-04	0.000000000000e+00	0.000000000000e+00	6.211101987713e-05	0.4321	6.0369	3.8653	16.9661	1.1967	0.10101	1.1639	0.099339	0.36107	3.3209	0.41169	0.63179	12.6186	8.1949	36.0692	1.7263	0.20454	2.3966	0.20379	0.36598	3.4194	6.0361	-0.016503	-4.6023e-05
5.693333333333e+00	5.716219422290e+00	5.205220362290e+00	1.118635995591e+01	9.959962892839e-01	1.145665272987e+01	-0.000000000000e+00	1.635449873541e-01	9.562955713221e+01	-4.832219850668e+00	-6.217570593950e+00	3.681527298744e-01	2.382405265123e-03	2.026202867152e-01	1.000000000000e+00	2.445492673176e+00	-7.696138344011e-01	8.583561504437e+00	-8.916438495563e+00	1.172037971328e+01	1.161204395634e-01	1.405958351554e-01	1.328690297050e-01	1.145665272987e+01	1.159724856503e+01	1.173011759473e+01	6.855544337043e-01	5.132612415649e-01	-9.043330371618e-02	2.201852906961e-02	-2.585649565943e-03	1.043012162469e-04	3.446669651165e-01	4.997553721445e-01	-5.576651124135e-02	1.893316849474e-02	-7.848423015693e-03	1.876589789218e-03	0.000000000000e+00	0.000000000000e+00	8.662539545483e-04	0.000000000000e+00	0.000000000000e+00	7.881597848930e-05	0.39793	6.0039	3.7509	16.5842	1.1834	0.099729	1.1597	0.098954	0.33626	3.2343	0.38505	0.60518	12.8941	8.0216	35.6566	1.7007	0.20166	2.3862	0.20787	0.35585	3.3616	5.9175	-0.0010838	-4.8289e-05
6.000000000000e+00	6.021720687588e+00	5.510721627588e+00	1.178421088991e+01	9.963929433605e-01	1.146227461060e+01	-0.000000000000e+00	1.619267094620e-01	9.470673467474e+01	-5.254046883213e+00	-5.938239911345e+00	3.737746106025e-01	8.069550868033e-03	2.028622810909e-01	1.000000000000e+00	2.437277726797e+00	-7.642909488317e-01	8.320376547137e+00	-9.179623452863e+00	1.172613771891e+01	1.235981746210e-01	1.377220943810e-01	1.304337441484e-01	1.146227461060e+01	1.159999670498e+01	1.173043044913e+01	6.974242302487e-01	5.229581561765e-01	-9.515974010195e-02	2.327009331694e-02	-2.712882350534e-03	1.084309999511e-04	3.662658416184e-01	5.042485286243e-01	-5.875615879911e-02	2.052402829103e-02	-8.569036029526e-03	1.843227754354e-03	0.000000000000e+00	0.000000000000e+00	9.034684357046e-04	0.000000000000e+00	0.000000000000e+00	9.651657450124e-05	0.37683	6.0952	3.7262	16.8354	1.187	0.099923	1.1691	0.099723	0.31746	3.1872	0.39922	0.49374	12.794	7.8403	35.5929	1.682	0.20454	2.3801	0.20346	0.29354	3.2941	5.1084	-0.0011339	-4.9398e-05
7.600000000000e+00	7.617159578171e+00	7.106160518171e+00	1.490640624304e+01	9.977472471208e-01	1.148799868108e+01	1.912831540122e-02	1.533258901694e-01	9.092977462638e+01	-5.401423890501e+00	-3.189697042547e+00	3.994986810812e-01	3.166945824801e-02	2.030411428468e-01	1.000000000000e+00	2.402147112969e+00	-7.413866955333e-01	6.817690709163e+00	-1.068230929084e+01	1.175095885715e+01	1.653397949103e-01	1.229977012521e-01	1.208341594186e-01	1.148799868108e+01	1.161099638233e+01	1.173183054175e+01	7.392608250135e-01	5.767880282846e-01	-1.235799860043e-01	3.112877324656e-02	-3.562340041777e-03	1.386817797082e-04	4.916212384852e-01	4.967657523348e-01	-8.033746083362e-02	3.271104875408e-02	-1.089765563875e-02	1.578711036519e-03	0.000000000000e+00	0.000000000000e+00	1.161703946138e-03	0.000000000000e+00	0.000000000000e+00	1.859721931662e-04	0.38198	7.3182	3.1096	13.4946	1.202	0.10052	1.1507	0.097888	0.3178	2.7022	0.41485	0.5084	15.3762	6.5444	28.438	1.5597	0.20515	2.3824	0.20427	0.32597	2.7469	5.1989	-0.00039156	-5.6957e-05
9.200000000000e+00	9.214180378054e+00	8.703181318054e+00	1.803169731477e+01	9.984610266489e-01	1.150817085058e+01	3.818775226370e-02	1.442193062293e-01	8.845766593166e+01	-5.877675623472e+00	-1.894554000909e+01	4.196708505809e-01	5.117220470612e-02	2.034844524424e-01	1.000000000000e+00	2.377103754764e+00	-7.244323427734e-01	5.683718924335e+00	-1.181628107567e+01	1.176951554756e+01	2.127863291024e-01	1.103281062996e-01	1.128288384133e-01	1.150817085058e+01	1.161849895688e+01	1.173132779529e+01	7.780632221960e-01	6.316426643149e-01	-1.567342239036e-01	4.145851216172e-02	-4.832822837118e-03	1.908076986190e-04	5.634610217365e-01	4.959346896425e-01	-9.192206659530e-02	5.702336521960e-02	-1.929822325427e-02	2.304293673948e-03	0.000000000000e+00	0.000000000000e+00	1.465978361185e-03	0.000000000000e+00	0.000000000000e+00	2.352519323570e-04	0.72544	7.0891	5.1958	28.6558	1.1903	0.098984	1.1937	0.1014	0.60948	4.3527	0.87662	1.3631	15.0803	10.8602	60.0643	1.5689	0.20324	2.3962	0.20226	0.86881	4.5322	13.4684	-0.010188	-2.2655e-05
1.080000000000e+01	1.081208213247e+01	1.030108307247e+01	2.115871237116e+01	9.988825341573e-01	1.152460927801e+01	5.521082927441e-02	1.353146058693e-01	8.619688953298e+01	-6.544956966853e+00	-1.948956152719e+01	4.361092780097e-01	6.832078658771e-02	2.036099573133e-01	1.000000000000e+00	2.357037511484e+00	-7.115699323260e-01	4.771250279190e+00	-1.272874972081e+01	1.178389004269e+01	2.662308481036e-01	9.963484044117e-02	1.044350949614e-01	1.152460927801e+01	1.162424411845e+01	1.172867921341e+01	8.112026823458e-01	6.898997873740e-01	-1.970626505248e-01	5.584255421096e-02	-6.845130955323e-03	2.837547675365e-04	6.262828145278e-01	5.026474564005e-01	-1.087698072065e-01	7.780493306063e-02	-2.469608832756e-02	2.577546686851e-03	0.000000000000e+00	0.000000000000e+00	1.811602524043e-03	0.000000000000e+00	0.000000000000e+00	3.705842103162e-04	0.89121	7.598	5.7596	31.8618	1.2223	0.10119	1.1674	0.099073	0.72911	4.9335	1.1677	1.6282	15.4685	12.1003	66.6131	2.0754	0.1997	2.4237	0.20245	0.78454	4.9924	18.6044	0.01328	-4.3175e-05
1.240000000000e+01	1.241052456745e+01	1.189952550745e+01	2.428678551278e+01	9.991519643352e-01	1.153790630056e+01	7.084569847067e-02	1.265021127739e-01	8.428020450502e+01	-7.031736650791e+00	-1.743193592665e+01	4.494063005620e-01	8.501325816451e-02	2.046675596938e-01	1.000000000000e+00	2.340732154860e+00	-7.015484093288e-01	3.963297109041e+00	-1.353670289096e+01	1.179533244031e+01	3.269664584853e-01	9.059142539522e-02	9.598901587820e-02	1.153790630056e+01	1.162849772596e+01	1.172448674184e+01	8.499801057284e-01	7.456357091654e-01	-2.415193225742e-01	7.445049193252e-02	-9.829837741366e-03	4.388163352842e-04	6.863085154366e-01	5.266654295869e-01	-1.426977904291e-01	9.776211785660e-02	-2.790765801398e-02	2.589345406585e-03	0.000000000000e+00	0.000000000000e+00	2.130980199029e-03	0.000000000000e+00	0.000000000000e+00	5.131049752557e-04	0.97266	7.4315	6.5342	34.8618	1.2126	0.099965	1.1845	0.10041	0.80216	5.5165	1.4213	1.7732	15.857	13.4947	72.6178	2.1392	0.20309	2.3653	0.20156	0.82894	5.7052	23.3932	0.059413	-6.8717e-05
1.400000000000e+01	1.400932261172e+01	1.349832355172e+01	2.741555456427e+01	9.993345422915e-01	1.154888345467e+01	8.433533319145e-02	1.184393645293e-01	8.269103150477e+01	-7.546045293584e+00	-1.669697702856e+01	4.603834546656e-01	9.918121105782e-02	2.053458778664e-01	1.000000000000e+00	2.327419687562e+00	-6.935414104443e-01	3.235878551372e+00	-1.426412144863e+01	1.180465412213e+01	3.942859159480e-01	8.287025236823e-02	8.856508190824e-02	1.154888345467e+01	1.163175370703e+01	1.172031878894e+01	8.876878300121e-01	8.044446270131e-01	-2.929376691796e-01	9.775272940025e-02	-1.388124152711e-02	6.668652211457e-04	7.456882720936e-01	5.681911856501e-01	-1.923641765508e-01	1.217377785776e-01	-3.164932728742e-02	2.691435588196e-03	0.000000000000e+00	0.000000000000e+00	2.356386204246e-03	0.000000000000e+00	0.000000000000e+00	6.403633244830e-04	1.0561	7.4807	7.1339	37.5461	1.2061	0.098986	1.1812	0.10006	0.87561	6.0395	1.6985	1.9301	15.7125	14.9671	78.7976	2.1851	0.20225	2.3694	0.19961	0.88332	6.3169	28.031	0.041541	-3.3011e-05
1.560000000000e+01	1.560836698823e+01	1.509736792823e+01	3.054480567583e+01	9.994639421127e-01	1.155884959512e+01	9.530269455244e-02	1.111138549226e-01	8.135456604269e+01	-8.357478711710e+00	-1.637264781491e+01	4.703495951195e-01	1.108792823758e-01	2.060765878234e-01	1.000000000000e+00	2.316308193168e+00	-6.869605123496e-01	2.587451808454e+00	-1.491254819155e+01	1.181242341218e+01	4.683124250092e-01	7.589851907696e-02	8.237260342767e-02	1.155884959512e+01	1.163474811420e+01	1.171712071762e+01	9.056342506314e-01	8.827524373851e-01	-3.579542480449e-01	1.263375987869e-01	-1.896843873516e-02	9.669148209300e-04	8.105565759852e-01	6.150953305773e-01	-2.442770091298e-01	1.448880917699e-01	-3.522094983156e-02	2.820076601200e-03	0.000000000000e+00	0.000000000000e+00	2.472773295370e-03	0.000000000000e+00	0.000000000000e+00	7.432221541627e-04	1.1492	7.6615	7.6549	40.0743	1.2057	0.098635	1.1691	0.098986	0.95312	6.5479	1.9711	2.0593	16.1219	16.4994	87.0677	2.2117	0.20089	2.3953	0.20102	0.93106	6.8881	33.1242	-0.0098162	0.00015414
1.720000000000e+01	1.720758902459e+01	1.669658996459e+01	3.367440445897e+01	9.995589722312e-01	1.156637937949e+01	1.051693782335e-01	1.050576199504e-01	8.018613387823e+01	-8.645354943360e+00	-1.632190729676e+01	4.778793794900e-01	1.210912153798e-01	2.064218371463e-01	1.000000000000e+00	2.306628467966e+00	-6.813123696981e-01	1.980546517219e+00	-1.551945348278e+01	1.181907816285e+01	5.461100717983e-01	7.062574015825e-02	7.690366497184e-02	1.156637937949e+01	1.163700511965e+01	1.171390878462e+01	9.359539660115e-01	9.503894325961e-01	-4.202504714020e-01	1.563433811356e-01	-2.473530839037e-02	1.331629763726e-03	8.555733638119e-01	6.786626207012e-01	-3.079619448790e-01	1.711630696484e-01	-3.920511458971e-02	2.985013526372e-03	0.000000000000e+00	0.000000000000e+00	2.526269891910e-03	0.000000000000e+00	0.000000000000e+00	8.307466868414e-04	1.2925	8.2836	8.2489	42.9413	1.242	0.10127	1.1953	0.10113	1.0407	6.9012	2.196	2.6874	17.2033	17.0765	89.2179	2.1576	0.20694	2.3883	0.20102	1.2455	7.1499	45.3482	0.040417	0.00012474
